id,weight,date,employed,gender,age,race
515,10.485,2013-07-01,not employed,male,senior,visible minority
516,29.1,2013-08-01,employed,female,middle age,caucasian
517,6.937,2013-08-01,not employed,female,middle age,aboriginal
518,3.33,2013-08-01,employed,female,youth,visible minority
519,5.709,2012-06-01,employed,female,middle age,aboriginal
520,22.9,2012-06-01,not employed,female,middle age,caucasian
521,9.605,2012-06-01,employed,female,youth,visible minority
522,5.709,2012-06-01,not employed,male,middle age,caucasian
523,5.709,2012-06-01,employed,female,middle age,visible minority
524,5.709,2012-06-01,employed,female,middle age,caucasian
525,9.614,2012-06-01,employed,female,youth,caucasian
526,11.216,2012-06-01,not employed,male,middle age,caucasian
527,9.587,2012-06-01,employed,male,middle age,caucasian
528,3.359,2012-07-01,not employed,male,middle age,caucasian
529,10.068,2012-07-01,not employed,male,youth,visible minority
530,7.583,2012-07-01,employed,male,youth,caucasian
531,22.134,2012-07-01,not employed,male,senior,caucasian
532,10.135,2012-07-01,not employed,female,senior,caucasian
533,6.789,2013-08-01,employed,male,middle age,aboriginal
534,6.562,2013-08-01,employed,male,middle age,caucasian
535,6.33,2013-08-01,not employed,male,youth,visible minority
536,5.195,2013-08-01,NA,female,middle age,caucasian
537,5.195,2013-08-01,employed,male,middle age,caucasian
538,5.178,2013-08-01,employed,female,middle age,caucasian
539,5.175,2013-08-01,not employed,female,middle age,caucasian
540,57.611,2013-08-01,not employed,female,middle age,caucasian
541,4.368,2013-08-01,not employed,male,middle age,aboriginal
542,8.083,2013-08-01,NA,male,youth,caucasian
543,57.611,2013-08-01,employed,male,middle age,aboriginal
544,8.083,2013-08-01,not employed,female,middle age,NA
545,5.175,2013-08-01,not employed,female,youth,caucasian
546,38.268,2013-09-01,not employed,female,senior,caucasian
547,22.055,2012-07-01,employed,female,middle age,caucasian
548,10.026,2012-07-01,employed,male,middle age,caucasian
549,22.123,2012-07-01,employed,female,middle age,caucasian
550,15.871,2012-08-01,employed,male,middle age,aboriginal
551,7.725,2012-08-01,employed,male,middle age,caucasian
552,8.308,2012-08-01,employed,male,middle age,visible minority
553,17.34,2012-08-01,not employed,male,middle age,caucasian
554,7.292,2012-08-01,employed,female,senior,caucasian
555,16.072,2012-08-01,employed,female,senior,caucasian
556,8.517,2012-08-01,employed,male,youth,caucasian
557,16.556,2012-08-01,employed,female,senior,NA
558,8.631,2013-09-01,NA,male,middle age,caucasian
559,13.497,2013-09-01,employed,female,senior,caucasian
560,4.714,2013-09-01,not employed,female,middle age,caucasian
561,13.497,2013-09-01,not employed,female,middle age,caucasian
562,10.245,2013-09-01,not employed,female,middle age,caucasian
563,10.245,2013-09-01,employed,female,senior,caucasian
564,4.75,2013-09-01,not employed,male,middle age,caucasian
565,9.637,2013-09-01,employed,female,middle age,caucasian
566,21.013,2012-09-01,employed,male,middle age,visible minority
567,31.798,2012-09-01,employed,female,middle age,aboriginal
568,32.315,2012-09-01,not employed,male,senior,caucasian
569,31.798,2012-09-01,employed,male,middle age,caucasian
570,6.889,2012-09-01,employed,female,middle age,caucasian
571,4.635,2012-09-01,employed,male,middle age,caucasian
572,6.231,2012-10-01,employed,female,middle age,aboriginal
573,20.982,2012-10-01,employed,female,middle age,visible minority
574,20.941,2012-10-01,not employed,male,senior,caucasian
575,15.736,2012-10-01,employed,female,youth,caucasian
576,10.065,2013-10-01,not employed,female,middle age,caucasian
577,6.95,2013-10-01,employed,female,middle age,caucasian
578,6.915,2013-10-01,not employed,male,middle age,caucasian
579,6.95,2013-10-01,employed,male,middle age,caucasian
580,13.993,2013-10-01,employed,female,middle age,visible minority
581,13.451,2013-10-01,employed,male,middle age,visible minority
582,5.175,2013-10-01,not employed,female,senior,caucasian
583,15.509,2013-10-01,not employed,female,middle age,caucasian
584,13.993,2013-10-01,not employed,female,senior,caucasian
585,5.94,2013-11-01,not employed,female,youth,caucasian
586,11.715,2013-11-01,not employed,female,senior,visible minority
587,11.349,2013-11-01,employed,male,youth,caucasian
588,5.158,2012-10-01,employed,female,senior,caucasian
589,15.724,2012-10-01,not employed,female,middle age,caucasian
590,3.859,2012-10-01,not employed,male,middle age,caucasian
591,3.859,2012-10-01,employed,female,middle age,visible minority
592,15.701,2012-10-01,employed,male,senior,NA
593,4.085,2012-11-01,not employed,female,middle age,caucasian
594,4.085,2012-11-01,employed,male,middle age,caucasian
595,4.344,2012-11-01,employed,male,middle age,caucasian
596,13.44,2012-11-01,not employed,male,middle age,caucasian
597,4.085,2012-11-01,not employed,male,middle age,caucasian
598,4.085,2012-11-01,not employed,female,senior,caucasian
599,4.344,2012-11-01,employed,female,middle age,visible minority
600,4.085,2012-11-01,employed,male,middle age,caucasian
601,4.085,2012-11-01,employed,female,youth,caucasian
602,12.381,2013-11-01,NA,male,senior,caucasian
603,17.024,2013-11-01,employed,male,middle age,caucasian
604,5.94,2013-11-01,employed,female,senior,caucasian
605,4.972,2013-11-01,employed,female,senior,caucasian
606,3.4,2013-11-01,not employed,male,senior,caucasian
607,5.537,2013-11-01,not employed,male,middle age,visible minority
608,9.861,2013-11-01,employed,male,senior,caucasian
609,3.691,2013-11-01,not employed,male,senior,caucasian
610,28.964,2013-11-01,not employed,female,middle age,caucasian
611,28.26,2013-11-01,employed,male,middle age,caucasian
612,11.811,2013-12-01,employed,male,senior,aboriginal
613,7.358,2013-12-01,employed,male,senior,visible minority
614,11.811,2013-12-01,employed,female,middle age,caucasian
615,7.257,2013-12-01,employed,female,middle age,visible minority
616,13.44,2012-11-01,not employed,male,middle age,NA
617,13.44,2012-11-01,not employed,female,middle age,caucasian
618,4.344,2012-11-01,employed,female,middle age,visible minority
619,4.344,2012-11-01,employed,female,senior,caucasian
620,4.344,2012-11-01,employed,male,middle age,visible minority
621,13.44,2012-11-01,employed,female,middle age,caucasian
622,7.441,2012-11-01,not employed,female,middle age,caucasian
623,4.344,2012-11-01,not employed,female,senior,caucasian
624,4.344,2012-11-01,employed,female,youth,visible minority
625,4.344,2012-11-01,employed,male,middle age,visible minority
626,7.441,2012-11-01,not employed,female,middle age,caucasian
627,4.085,2012-11-01,not employed,female,middle age,visible minority
628,4.085,2012-11-01,NA,male,middle age,caucasian
629,4.344,2012-11-01,not employed,female,youth,NA
630,5.289,2012-12-01,not employed,female,middle age,caucasian
631,10.649,2012-12-01,NA,male,senior,caucasian
632,12.293,2012-12-01,not employed,male,middle age,caucasian
633,9.331,2013-12-01,not employed,female,middle age,visible minority
634,17.429,2013-12-01,employed,female,youth,caucasian
635,4.571,2013-12-01,employed,female,middle age,visible minority
636,4.571,2013-12-01,employed,male,senior,visible minority
637,6.656,2013-12-01,employed,female,senior,visible minority
638,4.1,2013-12-01,employed,male,middle age,caucasian
639,9.331,2013-12-01,not employed,male,middle age,caucasian
640,11.125,2013-12-01,not employed,male,middle age,caucasian
641,7.358,2013-12-01,not employed,male,senior,caucasian
642,4.869,2014-01-01,employed,female,middle age,caucasian
643,6.323,2012-12-01,employed,male,youth,caucasian
644,9.831,2012-12-01,employed,male,senior,visible minority
645,10.283,2012-12-01,employed,female,youth,caucasian
646,7.904,2012-12-01,not employed,male,youth,caucasian
647,5.289,2012-12-01,employed,male,middle age,caucasian
648,6.323,2012-12-01,not employed,female,middle age,caucasian
649,5.289,2012-12-01,employed,female,middle age,visible minority
650,8.528,2012-12-01,not employed,female,senior,caucasian
651,7.904,2012-12-01,not employed,male,middle age,caucasian
652,14.928,2012-12-01,employed,female,middle age,caucasian
653,12.289,2012-12-01,not employed,female,middle age,caucasian
654,6.323,2012-12-01,employed,female,middle age,caucasian
655,6.178,2012-12-01,not employed,female,middle age,caucasian
656,4.942,2012-12-01,not employed,male,middle age,NA
657,6.612,2012-12-01,not employed,female,middle age,caucasian
658,6.277,2013-01-01,employed,female,middle age,visible minority
659,7.976,2013-01-01,not employed,female,senior,aboriginal
660,19,2014-01-01,employed,female,senior,caucasian
661,6.44,2014-01-01,not employed,female,middle age,caucasian
662,6.44,2014-01-01,employed,male,middle age,caucasian
663,7.297,2014-01-01,not employed,female,middle age,visible minority
664,14.359,2014-01-01,not employed,male,middle age,caucasian
665,2.777,2014-01-01,employed,male,youth,visible minority
666,5.718,2014-02-01,employed,male,middle age,caucasian
667,6.027,2014-02-01,employed,male,youth,caucasian
668,8.56,2014-02-01,not employed,female,youth,caucasian
669,8.56,2014-02-01,employed,male,middle age,aboriginal
670,4.774,2014-02-01,employed,female,middle age,NA
671,8.026,2014-02-01,NA,female,middle age,caucasian
672,8.026,2014-02-01,not employed,female,middle age,caucasian
673,6.277,2013-01-01,not employed,female,middle age,aboriginal
674,5.828,2013-01-01,employed,female,youth,caucasian
675,6.277,2013-01-01,employed,female,senior,caucasian
676,28.211,2013-01-01,not employed,female,middle age,caucasian
677,6.277,2013-01-01,not employed,male,middle age,caucasian
678,5.58,2013-01-01,employed,male,middle age,caucasian
679,7.257,2013-01-01,employed,female,youth,caucasian
680,6.54,2013-01-01,employed,female,middle age,aboriginal
681,19.783,2013-01-01,employed,female,middle age,aboriginal
682,4.077,2013-01-01,employed,female,middle age,aboriginal
683,5.828,2013-01-01,not employed,female,middle age,visible minority
684,38.018,2013-02-01,not employed,male,middle age,caucasian
685,3.847,2013-02-01,not employed,female,middle age,caucasian
686,6.027,2014-02-01,not employed,female,senior,caucasian
687,22.8,2014-02-01,employed,female,middle age,visible minority
688,4.774,2014-02-01,employed,female,middle age,visible minority
689,5.718,2014-02-01,not employed,female,middle age,caucasian
690,6.027,2014-02-01,employed,male,middle age,visible minority
691,5.718,2014-02-01,employed,female,middle age,caucasian
692,8.56,2014-02-01,not employed,female,senior,visible minority
693,5.718,2014-02-01,employed,female,senior,caucasian
694,5.718,2014-02-01,employed,female,middle age,caucasian
695,6.027,2014-02-01,employed,female,middle age,caucasian
696,7.295,2014-03-01,not employed,female,senior,caucasian
697,7.295,2014-03-01,not employed,male,middle age,visible minority
698,3.816,2013-02-01,employed,female,middle age,caucasian
699,3.816,2013-02-01,employed,female,senior,caucasian
700,4.259,2013-02-01,employed,male,youth,visible minority
701,4.259,2013-02-01,employed,female,middle age,visible minority
702,3.816,2013-02-01,employed,female,middle age,caucasian
703,5.992,2013-02-01,not employed,female,middle age,visible minority
704,5.992,2013-02-01,employed,female,middle age,visible minority
705,5.992,2013-02-01,NA,male,middle age,visible minority
706,4.293,2013-02-01,employed,female,youth,caucasian
707,4.259,2013-02-01,not employed,male,middle age,visible minority
708,6.687,2013-02-01,employed,male,middle age,caucasian
709,5.992,2013-02-01,employed,male,middle age,caucasian
710,6.687,2013-02-01,employed,female,middle age,caucasian
711,25.405,2013-03-01,employed,male,middle age,visible minority
712,12.106,2013-03-01,NA,male,youth,caucasian
713,33.158,2013-03-01,employed,male,middle age,visible minority
714,7.295,2014-03-01,employed,female,middle age,aboriginal
715,7.295,2014-03-01,employed,male,middle age,visible minority
716,7.295,2014-03-01,employed,female,middle age,caucasian
717,7.295,2014-03-01,not employed,female,senior,caucasian
718,7.295,2014-03-01,employed,female,middle age,caucasian
719,7.295,2014-03-01,not employed,female,senior,caucasian
720,7.295,2014-03-01,employed,female,middle age,caucasian
721,7.295,2014-03-01,not employed,male,middle age,caucasian
722,5.843,2014-03-01,employed,male,senior,aboriginal
723,5.626,2014-04-01,employed,male,middle age,caucasian
724,5.82,2013-03-01,not employed,female,middle age,caucasian
725,33.158,2013-03-01,not employed,male,middle age,caucasian
726,4.067,2013-04-01,not employed,male,middle age,aboriginal
727,7.382,2013-04-01,not employed,female,middle age,caucasian
728,4.498,2013-04-01,employed,female,senior,caucasian
729,4.498,2013-04-01,employed,female,middle age,caucasian
730,2.888,2014-04-01,not employed,male,senior,caucasian
731,5.626,2014-04-01,not employed,male,middle age,visible minority
732,7,2014-04-01,not employed,female,middle age,caucasian
733,5.626,2014-04-01,employed,male,youth,caucasian
734,5.626,2014-04-01,employed,female,senior,visible minority
735,5.626,2014-04-01,employed,female,middle age,caucasian
736,4,2014-04-01,NA,female,senior,visible minority
737,4.494,2014-05-01,employed,female,senior,caucasian
738,2.77,2014-05-01,employed,female,senior,aboriginal
739,4.494,2014-05-01,not employed,female,senior,aboriginal
740,6.913,2014-05-01,employed,male,middle age,caucasian
741,7.942,2013-04-01,employed,male,middle age,caucasian
742,6.219,2013-04-01,employed,female,middle age,caucasian
743,27.52,2013-04-01,employed,male,middle age,visible minority
744,1.121,2013-05-01,not employed,male,senior,aboriginal
745,15.198,2013-05-01,not employed,female,middle age,caucasian
746,9.545,2013-05-01,employed,female,middle age,caucasian
747,13.272,2013-05-01,employed,male,senior,caucasian
748,13.272,2013-05-01,employed,female,middle age,caucasian
749,7.671,2013-05-01,not employed,male,middle age,NA
750,8.785,2013-05-01,employed,male,senior,aboriginal
751,8.785,2013-05-01,employed,female,senior,visible minority
752,5.277,2013-05-01,employed,male,senior,caucasian
753,5.75,2013-05-01,employed,male,middle age,aboriginal
754,5.75,2013-05-01,not employed,male,middle age,caucasian
755,4.494,2014-05-01,employed,female,middle age,caucasian
756,15,2014-05-01,not employed,male,youth,aboriginal
757,2.77,2014-05-01,not employed,male,middle age,caucasian
758,6.913,2014-05-01,not employed,male,youth,caucasian
759,2.77,2014-05-01,not employed,female,middle age,caucasian
760,2.77,2014-05-01,not employed,female,middle age,visible minority
761,2.77,2014-05-01,not employed,female,middle age,caucasian
762,4.494,2014-05-01,NA,female,middle age,aboriginal
763,4.494,2014-05-01,employed,female,youth,caucasian
764,15,2014-05-01,employed,male,middle age,caucasian
765,4.4,2014-06-01,not employed,female,middle age,caucasian
766,6.5,2014-06-01,employed,female,youth,caucasian
767,7.886,2013-05-01,employed,male,middle age,caucasian
768,15.198,2013-05-01,not employed,female,middle age,visible minority
769,13.272,2013-05-01,employed,female,youth,caucasian
770,5.517,2013-05-01,employed,female,middle age,caucasian
771,9.031,2013-05-01,employed,female,middle age,caucasian
772,1.121,2013-05-01,not employed,female,senior,caucasian
773,9.031,2013-05-01,employed,female,middle age,visible minority
774,5.75,2013-05-01,not employed,female,senior,caucasian
775,7.979,2013-06-01,not employed,male,middle age,visible minority
776,4.965,2013-06-01,employed,male,middle age,aboriginal
777,4.965,2013-06-01,not employed,male,middle age,caucasian
778,10.286,2013-06-01,not employed,female,middle age,caucasian
779,7.979,2013-06-01,employed,male,middle age,caucasian
780,7.979,2013-06-01,employed,male,middle age,visible minority
781,7.979,2013-06-01,employed,female,middle age,caucasian
782,2.142,2014-06-01,employed,male,middle age,caucasian
783,6.5,2014-06-01,not employed,female,youth,aboriginal
784,14.5,2014-06-01,employed,female,middle age,caucasian
785,4.666,2014-06-01,employed,male,senior,caucasian
786,16.5,2014-06-01,employed,male,middle age,caucasian
787,4.4,2014-06-01,employed,male,middle age,visible minority
788,5.478,2014-06-01,employed,male,youth,caucasian
789,5.478,2014-06-01,employed,female,middle age,aboriginal
790,2.142,2014-06-01,employed,female,middle age,caucasian
791,5.478,2014-06-01,employed,female,youth,aboriginal
792,5,2014-06-01,employed,female,senior,visible minority
793,5.3,2014-07-01,employed,male,middle age,aboriginal
794,4.384,2014-07-01,employed,female,middle age,caucasian
795,10.294,2013-06-01,employed,female,middle age,caucasian
796,7.979,2013-06-01,not employed,female,senior,visible minority
797,7.979,2013-06-01,not employed,female,middle age,caucasian
798,10.294,2013-06-01,employed,female,middle age,caucasian
799,4.95,2013-07-01,employed,female,middle age,visible minority
800,4.95,2013-07-01,employed,male,senior,caucasian
801,4.95,2013-07-01,not employed,female,youth,caucasian
802,9.178,2013-07-01,employed,female,senior,caucasian
803,4.95,2013-07-01,not employed,female,senior,caucasian
804,4.95,2013-07-01,employed,female,senior,visible minority
805,10.485,2013-07-01,employed,female,youth,visible minority
806,4.95,2013-07-01,employed,female,senior,caucasian
807,5.3,2014-07-01,employed,male,youth,caucasian
808,3.372,2014-07-01,employed,female,senior,caucasian
809,4.384,2014-07-01,not employed,female,middle age,visible minority
810,4.384,2014-07-01,not employed,male,middle age,caucasian
811,19.6,2014-07-01,not employed,female,senior,visible minority
812,20.375,2014-07-01,employed,female,middle age,aboriginal
813,3.372,2014-07-01,not employed,female,middle age,caucasian
814,5.3,2014-07-01,not employed,female,middle age,visible minority
815,19.6,2014-07-01,employed,male,senior,visible minority
816,19.6,2014-07-01,employed,male,senior,visible minority
817,12.333,2014-07-01,not employed,male,middle age,aboriginal
818,12.333,2014-07-01,employed,female,middle age,visible minority
819,5.3,2014-07-01,not employed,female,senior,caucasian
820,5.3,2014-07-01,employed,male,middle age,caucasian
821,20.375,2014-07-01,employed,female,youth,visible minority
822,4.384,2014-07-01,not employed,female,youth,caucasian
823,3.209,2014-08-01,employed,male,middle age,caucasian
824,3.565,2013-07-01,employed,male,senior,visible minority
825,9.178,2013-07-01,employed,male,middle age,caucasian
826,6.937,2013-08-01,not employed,female,middle age,caucasian
827,4.368,2013-08-01,not employed,male,middle age,visible minority
828,8.083,2013-08-01,employed,male,middle age,caucasian
829,4.368,2013-08-01,not employed,female,middle age,aboriginal
830,3.33,2013-08-01,not employed,female,senior,caucasian
831,6.33,2013-08-01,not employed,female,middle age,visible minority
832,8.083,2013-08-01,employed,male,middle age,caucasian
833,3.33,2013-08-01,employed,female,youth,aboriginal
834,55.609,2013-08-01,employed,male,middle age,aboriginal
835,6.557,2013-08-01,not employed,female,senior,aboriginal
836,6.793,2013-08-01,employed,male,middle age,visible minority
837,29.194,2013-08-01,employed,female,middle age,caucasian
838,33.631,2014-08-01,not employed,female,middle age,caucasian
839,3.209,2014-08-01,not employed,male,middle age,caucasian
840,3.209,2014-08-01,employed,male,middle age,caucasian
841,4.316,2014-08-01,employed,female,senior,aboriginal
842,3.209,2014-08-01,not employed,male,middle age,caucasian
843,3.209,2014-08-01,not employed,female,middle age,visible minority
844,4.316,2014-08-01,employed,male,middle age,caucasian
845,3.209,2014-08-01,employed,female,middle age,caucasian
846,33.631,2014-08-01,not employed,female,youth,caucasian
847,8.434,2013-09-01,employed,female,middle age,aboriginal
848,24.524,2013-09-01,employed,female,middle age,caucasian
849,11.689,2013-09-01,employed,male,middle age,caucasian
850,5.303,2013-09-01,employed,male,youth,caucasian
851,18.616,2013-09-01,employed,female,middle age,visible minority
852,3.826,2013-09-01,not employed,male,middle age,caucasian
853,5.303,2013-09-01,employed,female,middle age,visible minority
854,11.689,2013-09-01,NA,male,middle age,aboriginal
855,3.826,2013-09-01,employed,male,youth,caucasian
856,9.394,2013-09-01,not employed,female,middle age,visible minority
857,11.689,2013-09-01,not employed,female,middle age,caucasian
858,9.394,2013-09-01,not employed,male,middle age,caucasian
859,5.091,2014-09-01,employed,male,middle age,caucasian
860,6.623,2014-09-01,employed,female,youth,caucasian
861,3.074,2014-09-01,not employed,female,middle age,visible minority
862,8.456,2014-09-01,employed,female,middle age,aboriginal
863,5.087,2014-09-01,employed,female,middle age,visible minority
864,5.091,2014-09-01,employed,female,middle age,caucasian
865,7.653,2014-09-01,not employed,female,middle age,caucasian
866,5.087,2014-09-01,not employed,female,senior,visible minority
867,10.475,2014-09-01,not employed,female,middle age,caucasian
868,18.871,2014-09-01,not employed,female,middle age,caucasian
869,10.016,2014-09-01,employed,male,middle age,caucasian
870,5.091,2014-09-01,not employed,female,middle age,aboriginal
871,16.637,2014-09-01,employed,male,middle age,aboriginal
872,5.106,2014-09-01,not employed,male,middle age,caucasian
873,3.074,2014-09-01,not employed,female,senior,caucasian
874,5.087,2014-09-01,not employed,female,senior,caucasian
875,5.106,2014-09-01,employed,male,middle age,visible minority
876,7.653,2014-09-01,employed,female,senior,visible minority
877,5.087,2014-09-01,not employed,male,youth,caucasian
878,5.091,2014-09-01,not employed,female,middle age,NA
879,5.091,2014-09-01,employed,male,youth,visible minority
880,5.091,2014-09-01,employed,male,youth,caucasian
881,3.074,2014-09-01,not employed,male,youth,caucasian
882,3.074,2014-09-01,NA,male,senior,caucasian
883,5.087,2014-09-01,not employed,male,middle age,visible minority
884,4,2014-09-01,employed,male,middle age,visible minority
885,5.087,2014-09-01,employed,female,youth,visible minority
886,16.078,2013-10-01,not employed,male,youth,caucasian
887,18.793,2013-10-01,not employed,female,middle age,aboriginal
888,9.287,2013-10-01,not employed,male,senior,caucasian
889,13.993,2013-10-01,not employed,male,middle age,aboriginal
890,6.915,2013-10-01,not employed,female,middle age,aboriginal
891,5.175,2013-10-01,employed,female,senior,caucasian
892,13.993,2013-10-01,not employed,male,senior,visible minority
893,13.451,2013-10-01,not employed,female,middle age,visible minority
894,9.287,2013-10-01,employed,female,senior,visible minority
895,6.95,2013-10-01,employed,male,middle age,aboriginal
896,16.078,2013-10-01,employed,male,senior,NA
897,15.076,2014-10-01,employed,male,youth,visible minority
898,12.545,2014-10-01,employed,male,youth,caucasian
899,10.055,2014-10-01,employed,male,senior,caucasian
900,3.301,2014-10-01,employed,female,middle age,visible minority
901,4.264,2014-10-01,employed,male,middle age,visible minority
902,3.301,2014-10-01,employed,female,middle age,aboriginal
903,3.301,2014-10-01,not employed,male,middle age,caucasian
904,2.854,2014-10-01,employed,female,middle age,caucasian
905,2.854,2014-10-01,employed,female,youth,caucasian
906,4.264,2014-10-01,employed,male,middle age,caucasian
907,2.854,2014-10-01,employed,female,middle age,caucasian
908,3.301,2014-10-01,employed,female,senior,visible minority
909,2.854,2014-10-01,not employed,female,middle age,caucasian
910,3.301,2014-10-01,not employed,female,middle age,caucasian
911,7.238,2014-10-01,employed,male,middle age,aboriginal
912,4.264,2014-10-01,employed,male,middle age,aboriginal
913,9.287,2013-10-01,employed,female,middle age,caucasian
914,10.065,2013-10-01,employed,male,middle age,caucasian
915,6.95,2013-10-01,employed,male,youth,caucasian
916,6.827,2013-11-01,employed,female,middle age,caucasian
917,4.972,2013-11-01,employed,female,senior,caucasian
918,3.4,2013-11-01,employed,female,middle age,caucasian
919,16.921,2013-11-01,employed,female,youth,caucasian
920,5.833,2013-11-01,employed,female,middle age,caucasian
921,9.861,2013-11-01,employed,female,middle age,aboriginal
922,28.964,2013-11-01,employed,male,middle age,visible minority
923,22.125,2013-11-01,not employed,female,middle age,caucasian
924,6.827,2013-11-01,employed,male,middle age,caucasian
925,5.833,2013-11-01,not employed,female,youth,caucasian
926,3.777,2013-11-01,not employed,female,middle age,caucasian
927,3.4,2013-11-01,not employed,male,senior,aboriginal
928,14.387,2013-11-01,not employed,male,middle age,visible minority
929,16.75,2014-10-01,employed,male,youth,caucasian
930,2.854,2014-10-01,not employed,male,senior,caucasian
931,10.055,2014-10-01,employed,male,middle age,caucasian
932,13.076,2014-11-01,employed,female,middle age,caucasian
933,4.428,2014-11-01,not employed,female,middle age,caucasian
934,8.679,2013-12-01,not employed,male,middle age,caucasian
935,11.125,2013-12-01,employed,female,senior,caucasian
936,11.125,2013-12-01,employed,female,middle age,caucasian
937,4.342,2013-12-01,not employed,male,middle age,aboriginal
938,8.679,2013-12-01,employed,male,middle age,caucasian
939,8.679,2013-12-01,not employed,female,middle age,caucasian
940,14.108,2013-12-01,employed,female,middle age,visible minority
941,7.358,2013-12-01,employed,female,middle age,aboriginal
942,3.539,2014-11-01,not employed,male,middle age,visible minority
943,3.539,2014-11-01,not employed,female,middle age,caucasian
944,4.896,2014-11-01,not employed,female,middle age,visible minority
945,4.896,2014-11-01,employed,male,middle age,caucasian
946,6.681,2014-11-01,employed,female,senior,visible minority
947,6.526,2014-11-01,not employed,female,youth,aboriginal
948,4.896,2014-11-01,not employed,female,senior,aboriginal
949,4.428,2014-11-01,not employed,female,middle age,caucasian
950,4.428,2014-11-01,employed,male,middle age,caucasian
951,4.896,2014-11-01,NA,female,youth,visible minority
952,3.539,2014-11-01,not employed,male,middle age,caucasian
953,11.9,2014-12-01,NA,female,middle age,caucasian
954,5.789,2014-12-01,employed,male,youth,caucasian
955,14.776,2013-12-01,not employed,female,middle age,caucasian
956,4.2,2013-12-01,employed,female,senior,caucasian
957,6.44,2014-01-01,not employed,male,middle age,caucasian
958,5.997,2014-01-01,not employed,female,youth,caucasian
959,2.777,2014-01-01,not employed,male,middle age,caucasian
960,8.676,2014-01-01,employed,female,middle age,caucasian
961,12.596,2014-01-01,employed,male,middle age,caucasian
962,8.676,2014-01-01,employed,female,senior,aboriginal
963,4,2014-12-01,not employed,female,middle age,caucasian
964,5.789,2014-12-01,employed,female,middle age,aboriginal
965,3.125,2014-12-01,employed,male,middle age,NA
966,5.347,2014-12-01,employed,male,middle age,caucasian
967,5.789,2014-12-01,employed,female,youth,aboriginal
968,18.615,2014-12-01,not employed,male,youth,caucasian
969,5.958,2014-12-01,not employed,female,senior,caucasian
970,4,2014-12-01,NA,male,middle age,visible minority
971,4,2014-12-01,not employed,female,middle age,caucasian
972,5.789,2014-12-01,employed,female,youth,aboriginal
973,18.615,2014-12-01,employed,female,middle age,caucasian
974,23.909,2014-12-01,not employed,male,middle age,caucasian
975,5.958,2014-12-01,not employed,male,senior,aboriginal
976,18.615,2014-12-01,employed,male,youth,caucasian
977,5.718,2014-02-01,not employed,female,youth,visible minority
978,6.027,2014-02-01,not employed,male,middle age,visible minority
979,6.027,2014-02-01,employed,female,senior,caucasian
980,5.718,2014-02-01,not employed,female,middle age,caucasian
981,8.026,2014-02-01,not employed,female,senior,caucasian
982,8.026,2014-02-01,employed,female,middle age,caucasian
983,5.718,2014-02-01,not employed,male,middle age,caucasian
984,13.818,2014-02-01,not employed,female,middle age,caucasian
985,8.026,2014-02-01,NA,female,middle age,caucasian
986,6.027,2014-02-01,not employed,male,youth,visible minority
987,4.774,2014-02-01,employed,female,middle age,caucasian
988,8.026,2014-02-01,employed,female,middle age,caucasian
989,5.718,2014-02-01,NA,female,senior,caucasian
990,8.026,2014-02-01,not employed,male,middle age,caucasian
991,5.718,2014-02-01,not employed,male,middle age,caucasian
992,5.718,2014-02-01,employed,female,youth,visible minority
993,8.56,2014-02-01,not employed,male,middle age,caucasian
994,8.026,2014-02-01,not employed,male,middle age,visible minority
995,7.295,2014-03-01,employed,male,middle age,caucasian
996,5.843,2014-03-01,employed,female,senior,NA
997,7.295,2014-03-01,not employed,female,middle age,caucasian
998,7.295,2014-03-01,not employed,female,middle age,aboriginal
999,7.295,2014-03-01,employed,female,youth,visible minority
1000,7.295,2014-03-01,not employed,female,senior,visible minority
1001,7.295,2014-03-01,not employed,female,youth,caucasian
1002,7.295,2014-03-01,employed,male,senior,caucasian
1003,5.843,2014-03-01,NA,male,senior,caucasian
1004,5.843,2014-03-01,not employed,male,middle age,caucasian
1005,7.295,2014-03-01,not employed,male,middle age,caucasian
1006,5.843,2014-03-01,employed,male,middle age,NA
1007,7.295,2014-03-01,not employed,female,middle age,caucasian
1008,7.295,2014-03-01,employed,male,middle age,visible minority
1009,5.626,2014-04-01,not employed,female,youth,caucasian
1010,5.626,2014-04-01,employed,male,senior,visible minority
1011,2.888,2014-04-01,employed,male,middle age,visible minority
1012,5.626,2014-04-01,employed,female,youth,caucasian
1013,5.626,2014-04-01,not employed,female,youth,caucasian
1014,5.626,2014-04-01,employed,male,middle age,visible minority
1015,5.626,2014-04-01,not employed,female,senior,visible minority
1016,16.344,2014-04-01,not employed,female,youth,visible minority
1017,16.344,2014-04-01,employed,female,youth,NA
1018,16.344,2014-04-01,employed,male,youth,caucasian
1019,2.77,2014-05-01,employed,male,middle age,caucasian
1020,6.913,2014-05-01,employed,female,middle age,visible minority
1021,2.77,2014-05-01,not employed,male,senior,NA
1022,6.913,2014-05-01,employed,female,middle age,caucasian
1023,4.494,2014-05-01,not employed,male,middle age,caucasian
1024,4.494,2014-05-01,employed,female,youth,caucasian
1025,4.494,2014-05-01,not employed,female,senior,visible minority
1026,2.77,2014-05-01,not employed,female,youth,caucasian
1027,4.494,2014-05-01,employed,female,middle age,visible minority
1028,2.77,2014-05-01,not employed,male,middle age,aboriginal
1029,4.494,2014-05-01,NA,female,middle age,caucasian
