id,weight,date,employed,race,age,earnings,gender
453,4.384,2014-07-01,employed,caucasian,middle age,NA,female
454,6.55,2014-07-01,employed,caucasian,youth,3600,male
455,3.372,2014-07-01,employed,caucasian,middle age,NA,female
456,19.6,2014-07-01,employed,caucasian,middle age,NA,male
457,3.372,2014-07-01,not employed,visible minority,middle age,NA,female
458,12.333,2014-07-01,not employed,caucasian,middle age,1516.6666666666667,male
459,5.3,2014-07-01,employed,NA,middle age,NA,male
460,5.3,2014-07-01,employed,caucasian,middle age,1802.6666666666667,female
461,10.538,2014-07-01,employed,visible minority,youth,NA,male
462,3.372,2014-07-01,employed,caucasian,middle age,520,female
463,4.316,2014-08-01,not employed,caucasian,middle age,NA,female
464,3.209,2014-08-01,not employed,aboriginal,middle age,2500,male
465,4.316,2014-08-01,employed,caucasian,middle age,1820,female
466,4.316,2014-08-01,not employed,visible minority,middle age,NA,female
467,4.316,2014-08-01,employed,caucasian,senior,NA,male
468,3.209,2014-08-01,employed,aboriginal,youth,NA,female
469,4.316,2014-08-01,employed,caucasian,youth,3033.3333333333335,male
470,4.316,2014-08-01,NA,caucasian,middle age,2860,female
471,4.316,2014-08-01,not employed,caucasian,middle age,NA,male
472,4.316,2014-08-01,employed,visible minority,middle age,NA,male
473,3.285,2014-08-01,employed,caucasian,youth,NA,male
474,6.68,2014-08-01,employed,visible minority,youth,NA,female
475,6.68,2014-08-01,employed,aboriginal,youth,5720,male
476,4.316,2014-08-01,not employed,visible minority,youth,NA,male
477,4.316,2014-08-01,not employed,aboriginal,middle age,NA,female
478,33.631,2014-08-01,not employed,caucasian,youth,NA,male
479,4.316,2014-08-01,NA,visible minority,middle age,NA,male
480,3.209,2014-08-01,employed,caucasian,youth,NA,female
481,6.623,2014-09-01,not employed,visible minority,middle age,1800,male
482,8.45,2014-09-01,not employed,caucasian,middle age,NA,female
483,5.087,2014-09-01,not employed,aboriginal,middle age,NA,male
484,7.653,2014-09-01,employed,caucasian,middle age,NA,female
485,14.781,2014-09-01,employed,aboriginal,middle age,3166.6666666666665,female
486,6.619,2014-09-01,not employed,aboriginal,middle age,3333.3333333333335,male
487,10.016,2014-09-01,employed,aboriginal,middle age,NA,female
488,17.399,2014-09-01,employed,visible minority,middle age,NA,female
489,10.016,2014-09-01,employed,caucasian,youth,2643.3333333333335,female
490,10.016,2014-09-01,employed,visible minority,senior,NA,male
491,5.091,2014-09-01,employed,aboriginal,middle age,NA,male
492,5.087,2014-09-01,employed,visible minority,senior,2340,female
493,4.264,2014-10-01,employed,caucasian,senior,1794,female
494,2.854,2014-10-01,not employed,visible minority,middle age,NA,male
495,4.264,2014-10-01,employed,caucasian,middle age,NA,male
496,3.301,2014-10-01,not employed,caucasian,youth,953.3333333333334,female
497,3.301,2014-10-01,employed,caucasian,middle age,NA,male
498,4.264,2014-10-01,employed,caucasian,senior,NA,male
499,2.854,2014-10-01,employed,caucasian,middle age,3380,female
500,3.301,2014-10-01,employed,visible minority,middle age,NA,female
501,4.264,2014-10-01,not employed,visible minority,middle age,NA,male
502,4.264,2014-10-01,employed,caucasian,senior,NA,male
503,4.264,2014-10-01,not employed,caucasian,middle age,650,male
504,3.301,2014-10-01,not employed,caucasian,middle age,3900,female
505,2.854,2014-10-01,employed,caucasian,senior,NA,male
506,3.301,2014-10-01,not employed,caucasian,senior,NA,male
507,4.264,2014-10-01,not employed,aboriginal,middle age,NA,female
508,3.301,2014-10-01,not employed,caucasian,middle age,1040,female
509,10.055,2014-10-01,not employed,caucasian,senior,2600,male
510,3.301,2014-10-01,employed,aboriginal,middle age,NA,female
511,12.545,2014-10-01,not employed,aboriginal,senior,NA,female
512,2.854,2014-10-01,employed,caucasian,middle age,NA,male
513,10.055,2014-10-01,employed,aboriginal,youth,1300,female
514,2.854,2014-10-01,employed,visible minority,middle age,NA,female
515,4.896,2014-11-01,employed,caucasian,middle age,NA,female
516,4.896,2014-11-01,not employed,caucasian,middle age,NA,male
517,6.681,2014-11-01,not employed,caucasian,youth,1744.166666666667,female
518,31.75,2014-11-01,employed,aboriginal,middle age,NA,female
519,4.428,2014-11-01,employed,aboriginal,middle age,1950,male
520,4.896,2014-11-01,not employed,aboriginal,youth,NA,male
521,3.539,2014-11-01,not employed,caucasian,middle age,NA,female
522,3.539,2014-11-01,employed,caucasian,middle age,3250,female
523,3.539,2014-11-01,employed,caucasian,senior,NA,female
524,13.076,2014-11-01,employed,visible minority,senior,NA,female
525,4.428,2014-11-01,not employed,caucasian,middle age,2990,female
526,3.79,2014-11-01,employed,NA,senior,NA,male
527,4.896,2014-11-01,NA,visible minority,youth,NA,female
528,6.681,2014-11-01,employed,visible minority,middle age,NA,female
529,4,2014-12-01,employed,aboriginal,senior,NA,male
530,5.347,2014-12-01,employed,visible minority,middle age,NA,male
531,23.909,2014-12-01,not employed,caucasian,senior,NA,male
532,4,2014-12-01,employed,caucasian,senior,NA,male
533,5.958,2014-12-01,employed,caucasian,middle age,NA,female
534,5.789,2014-12-01,employed,caucasian,senior,1560,female
535,5.347,2014-12-01,not employed,visible minority,middle age,NA,male
536,5.958,2014-12-01,not employed,visible minority,middle age,NA,female
537,3.904,2015-01-01,not employed,NA,middle age,393.46666666666664,female
538,3.904,2015-01-01,employed,caucasian,middle age,NA,female
539,5.378,2015-01-01,not employed,caucasian,middle age,NA,female
540,11.454,2015-01-01,not employed,aboriginal,middle age,NA,male
541,2.8,2015-01-01,not employed,caucasian,middle age,1443,male
542,5.378,2015-01-01,employed,caucasian,middle age,2454.27,female
543,5.378,2015-01-01,employed,caucasian,youth,NA,male
544,5.378,2015-01-01,employed,caucasian,senior,1560,female
545,4.807,2015-01-01,employed,caucasian,senior,2600,female
546,11.454,2015-01-01,employed,caucasian,middle age,NA,male
547,5.4,2015-02-01,employed,aboriginal,youth,4333.333333333333,male
548,8.363,2015-02-01,not employed,caucasian,middle age,NA,female
549,14.333,2015-02-01,not employed,visible minority,middle age,NA,female
550,5.4,2015-02-01,employed,aboriginal,middle age,NA,male
551,5.4,2015-02-01,not employed,caucasian,middle age,NA,male
552,3.878,2015-02-01,employed,caucasian,middle age,NA,female
553,5.666,2015-02-01,employed,caucasian,senior,NA,female
554,14.666,2015-02-01,NA,aboriginal,youth,NA,male
555,8.363,2015-02-01,not employed,visible minority,middle age,NA,female
556,18.142,2015-03-01,not employed,caucasian,middle age,866.6666666666666,male
557,3.483,2015-03-01,NA,visible minority,middle age,3466.6666666666665,female
558,3.528,2015-03-01,employed,visible minority,middle age,1083.3333333333335,male
559,28.5,2015-03-01,not employed,caucasian,middle age,NA,female
560,3.528,2015-03-01,not employed,visible minority,middle age,NA,female
561,3.528,2015-03-01,employed,visible minority,youth,468,female
562,18.142,2015-03-01,not employed,caucasian,middle age,NA,female
563,4.535,2015-03-01,employed,caucasian,youth,NA,female
564,4.5,2015-04-01,employed,caucasian,middle age,NA,female
565,4.727,2015-04-01,employed,visible minority,youth,NA,male
566,4.5,2015-04-01,employed,caucasian,middle age,2000,female
567,4.2,2015-04-01,employed,aboriginal,middle age,NA,male
568,33,2015-04-01,employed,visible minority,middle age,2253.3333333333335,female
569,4.2,2015-04-01,employed,aboriginal,middle age,NA,male
570,5.736,2015-04-01,NA,caucasian,middle age,3033.3333333333335,female
571,7.461,2015-04-01,not employed,caucasian,middle age,NA,female
572,4.764,2015-05-01,employed,visible minority,middle age,NA,female
573,5.057,2015-05-01,not employed,caucasian,middle age,NA,female
574,5.057,2015-05-01,not employed,visible minority,middle age,NA,female
575,5.057,2015-05-01,employed,caucasian,senior,NA,male
576,10.642,2015-05-01,not employed,caucasian,middle age,NA,male
577,4,2015-05-01,employed,caucasian,middle age,NA,female
578,4.764,2015-05-01,employed,caucasian,senior,1135.68,male
579,14.272,2015-05-01,not employed,caucasian,middle age,NA,male
580,7.529,2015-06-01,not employed,aboriginal,senior,NA,male
581,8.4,2015-06-01,employed,aboriginal,middle age,2773.3333333333335,male
582,7.529,2015-06-01,employed,visible minority,senior,NA,male
583,5.487,2015-06-01,employed,visible minority,middle age,NA,male
584,7.529,2015-06-01,not employed,visible minority,youth,NA,male
585,3.555,2015-06-01,employed,caucasian,middle age,1560,male
586,5.487,2015-06-01,not employed,caucasian,middle age,NA,female
587,8.055,2015-06-01,employed,caucasian,middle age,5200,female
588,5.487,2015-06-01,NA,visible minority,senior,NA,female
589,8.055,2015-06-01,employed,caucasian,youth,1950,female
590,8.055,2015-06-01,not employed,visible minority,senior,NA,female
591,5.625,2015-06-01,employed,caucasian,middle age,3120,female
592,4.166,2015-06-01,employed,aboriginal,middle age,2773.3333333333335,female
593,5.667,2015-07-01,not employed,caucasian,middle age,NA,female
594,6.088,2015-07-01,employed,caucasian,middle age,NA,female
595,6.469,2015-07-01,employed,NA,youth,4484.48,female
596,6.088,2015-07-01,not employed,caucasian,middle age,NA,male
597,5.059,2015-07-01,not employed,caucasian,middle age,1733.3333333333333,male
598,6.088,2015-07-01,not employed,caucasian,middle age,NA,male
599,6.088,2015-07-01,employed,visible minority,middle age,NA,female
600,13.579,2015-07-01,employed,aboriginal,middle age,2244.6666666666665,female
601,13.579,2015-07-01,employed,caucasian,senior,NA,male
602,11.813,2015-07-01,not employed,visible minority,youth,NA,female
603,13.96,2015-07-01,employed,visible minority,middle age,NA,male
604,5.667,2015-07-01,employed,visible minority,senior,2200,female
605,8.141,2015-08-01,employed,NA,middle age,NA,female
606,8.628,2015-08-01,not employed,caucasian,middle age,1048.6666666666667,female
607,6.924,2015-08-01,employed,caucasian,youth,NA,male
608,4.631,2015-08-01,employed,caucasian,senior,NA,female
609,6.924,2015-08-01,not employed,visible minority,middle age,NA,male
610,9.191,2015-08-01,not employed,caucasian,middle age,3466.6666666666665,female
611,8.141,2015-08-01,not employed,caucasian,youth,NA,male
612,19.287,2015-08-01,employed,caucasian,middle age,2582.6666666666665,male
613,5.552,2015-08-01,employed,visible minority,youth,NA,female
614,6.924,2015-08-01,employed,caucasian,middle age,4333.333333333333,male
615,4.981,2015-09-01,employed,caucasian,middle age,NA,female
616,10.076,2015-09-01,not employed,aboriginal,middle age,NA,female
617,8.5,2015-09-01,employed,caucasian,middle age,4033.8999999999996,female
618,4.981,2015-09-01,employed,visible minority,youth,4788.333333333333,female
619,5.796,2015-09-01,employed,caucasian,middle age,NA,male
620,4.981,2015-09-01,employed,visible minority,middle age,3284.6666666666665,female
621,8.5,2015-09-01,not employed,caucasian,youth,NA,male
622,4.583,2015-09-01,employed,caucasian,middle age,1733.3333333333333,male
623,5.796,2015-09-01,employed,aboriginal,middle age,NA,male
624,5.796,2015-09-01,employed,caucasian,middle age,NA,female
625,10.076,2015-09-01,not employed,visible minority,youth,NA,female
626,8.5,2015-09-01,not employed,aboriginal,middle age,728,male
627,5.796,2015-09-01,employed,visible minority,middle age,2600,male
628,6.014,2015-10-01,not employed,caucasian,middle age,NA,male
629,4.219,2015-10-01,employed,caucasian,middle age,1608.533333333333,male
630,10.612,2015-10-01,employed,NA,middle age,2925,male
631,3.965,2015-10-01,employed,caucasian,middle age,2708.3333333333335,male
632,7.929,2015-10-01,employed,caucasian,middle age,NA,male
633,4.219,2015-10-01,not employed,visible minority,middle age,NA,male
634,4.219,2015-10-01,not employed,caucasian,middle age,2275,female
635,4.734,2015-10-01,employed,visible minority,middle age,NA,female
636,11.714,2015-10-01,not employed,aboriginal,middle age,NA,female
637,5.647,2015-10-01,not employed,caucasian,senior,1242.15,male
638,5.318,2015-10-01,employed,visible minority,middle age,NA,female
639,7.001,2015-10-01,NA,aboriginal,senior,NA,female
640,4.219,2015-10-01,employed,visible minority,middle age,NA,female
641,5.318,2015-10-01,employed,caucasian,middle age,NA,male
642,10.612,2015-10-01,employed,visible minority,middle age,NA,female
643,5.318,2015-10-01,not employed,caucasian,middle age,NA,male
644,4.219,2015-10-01,employed,aboriginal,middle age,NA,female
645,13.186,2015-10-01,employed,caucasian,middle age,3033.3333333333335,female
646,18.778,2015-10-01,not employed,visible minority,middle age,2166.6666666666665,male
647,4.219,2015-10-01,employed,caucasian,middle age,NA,male
648,5.318,2015-10-01,not employed,caucasian,middle age,1200,male
649,4.219,2015-10-01,employed,visible minority,middle age,NA,female
650,5.967,2015-10-01,employed,visible minority,middle age,NA,female
651,11.626,2015-11-01,not employed,caucasian,middle age,3466.6666666666665,female
652,7.742,2015-11-01,NA,caucasian,youth,NA,male
653,5.326,2015-11-01,employed,caucasian,middle age,NA,female
654,3.718,2015-11-01,not employed,caucasian,senior,NA,male
655,11.626,2015-11-01,employed,visible minority,senior,NA,female
656,4.043,2015-11-01,employed,aboriginal,middle age,1560,female
657,4.043,2015-11-01,not employed,caucasian,middle age,NA,female
658,4.833,2015-11-01,not employed,caucasian,middle age,NA,male
659,8.846,2015-12-01,employed,caucasian,youth,NA,female
660,8.35,2015-12-01,not employed,aboriginal,middle age,NA,female
661,7.03,2015-12-01,employed,caucasian,youth,5384.000000000001,male
662,8.846,2015-12-01,not employed,caucasian,senior,1386.6666666666667,male
663,8.846,2015-12-01,NA,visible minority,middle age,NA,female
664,8.846,2015-12-01,employed,caucasian,middle age,2600,male
665,4.638,2016-01-01,not employed,aboriginal,middle age,NA,male
666,6.508,2016-01-01,employed,caucasian,middle age,1072.5,male
667,8.399,2016-01-01,employed,visible minority,middle age,NA,female
668,5.868,2016-01-01,not employed,caucasian,middle age,2470,female
669,7.69,2016-01-01,employed,caucasian,senior,2426.6666666666665,female
670,5.144,2016-01-01,employed,caucasian,youth,NA,male
671,4.638,2016-01-01,not employed,caucasian,youth,NA,female
672,9.315,2016-01-01,employed,aboriginal,middle age,NA,female
673,6.934,2016-01-01,employed,caucasian,middle age,NA,female
674,9.315,2016-01-01,NA,caucasian,youth,NA,male
675,5.042,2016-02-01,employed,aboriginal,middle age,1300,female
676,8.697,2016-02-01,employed,caucasian,middle age,NA,female
677,6,2016-02-01,employed,aboriginal,senior,NA,female
678,4.714,2016-02-01,employed,caucasian,middle age,NA,male
679,4,2016-02-01,employed,caucasian,middle age,NA,male
680,5.042,2016-02-01,employed,visible minority,youth,2925,female
681,5.659,2016-02-01,employed,aboriginal,youth,NA,male
682,8.697,2016-02-01,not employed,caucasian,middle age,NA,female
683,5.042,2016-02-01,employed,caucasian,middle age,NA,female
684,8.697,2016-02-01,employed,visible minority,middle age,2080,female
685,5.042,2016-02-01,not employed,NA,middle age,NA,male
686,8.697,2016-02-01,not employed,visible minority,middle age,NA,female
687,5.659,2016-02-01,employed,aboriginal,youth,NA,female
688,3.347,2016-02-01,employed,caucasian,senior,NA,male
689,8.697,2016-02-01,not employed,caucasian,middle age,NA,female
690,4,2016-02-01,not employed,caucasian,middle age,NA,male
691,8.697,2016-02-01,employed,caucasian,middle age,NA,female
692,11.982,2016-03-01,employed,aboriginal,middle age,3500,male
693,6.715,2016-03-01,employed,NA,middle age,NA,female
694,4.191,2016-03-01,employed,visible minority,middle age,NA,male
695,2.5,2016-03-01,not employed,caucasian,senior,NA,female
696,4.191,2016-03-01,not employed,caucasian,youth,2500,female
697,6.63,2016-03-01,employed,caucasian,middle age,NA,female
698,6.273,2016-03-01,employed,visible minority,middle age,NA,male
699,5.076,2016-03-01,employed,caucasian,youth,NA,female
700,5.522,2016-03-01,not employed,caucasian,middle age,NA,male
701,5.096,2016-03-01,employed,caucasian,youth,NA,female
702,3.73,2016-03-01,not employed,caucasian,middle age,NA,male
703,3.067,2016-03-01,employed,caucasian,middle age,NA,male
704,5.522,2016-03-01,employed,caucasian,senior,NA,female
705,9.795,2016-03-01,not employed,caucasian,middle age,3000,male
706,4.934,2016-04-01,not employed,visible minority,middle age,554.6666666666666,female
707,6.461,2016-04-01,not employed,visible minority,middle age,NA,male
708,3.141,2016-04-01,not employed,aboriginal,middle age,1580.8000000000002,female
709,4.934,2016-04-01,not employed,caucasian,middle age,NA,female
710,4.944,2016-04-01,employed,caucasian,youth,NA,female
711,10.169,2016-04-01,employed,caucasian,middle age,2400,male
712,3.141,2016-04-01,not employed,caucasian,senior,NA,female
713,4.934,2016-04-01,employed,caucasian,senior,1885,female
714,10.169,2016-04-01,employed,visible minority,middle age,NA,male
715,4.934,2016-04-01,employed,visible minority,middle age,NA,female
716,6.461,2016-04-01,not employed,caucasian,youth,NA,male
717,4.402,2016-04-01,employed,caucasian,youth,NA,male
718,4.934,2016-04-01,not employed,visible minority,youth,NA,male
719,4.934,2016-04-01,not employed,caucasian,senior,NA,female
720,4.944,2016-04-01,employed,aboriginal,senior,NA,female
721,3.141,2016-04-01,employed,caucasian,youth,1600,female
722,7.767,2016-04-01,employed,caucasian,senior,NA,male
723,11.648,2016-05-01,employed,caucasian,middle age,NA,male
724,4.181,2016-05-01,employed,caucasian,middle age,NA,female
725,19.004,2016-05-01,not employed,caucasian,middle age,2773.3333333333335,female
726,4.94,2016-05-01,employed,caucasian,youth,NA,female
727,6.72,2016-05-01,employed,caucasian,middle age,NA,male
728,4.94,2016-05-01,employed,caucasian,youth,5824,female
729,4.94,2016-05-01,employed,caucasian,senior,953.3333333333334,female
730,6.72,2016-05-01,employed,caucasian,middle age,NA,female
731,8.012,2016-05-01,employed,visible minority,middle age,NA,female
732,6.72,2016-05-01,employed,aboriginal,middle age,NA,female
733,8.012,2016-05-01,not employed,caucasian,middle age,NA,male
734,9.283,2016-05-01,not employed,visible minority,senior,NA,male
735,5.726,2016-06-01,employed,caucasian,middle age,NA,male
736,5.961,2016-06-01,employed,caucasian,senior,NA,female
737,7.376,2016-06-01,employed,visible minority,middle age,1059.5,female
738,15.531,2016-06-01,employed,caucasian,middle age,NA,female
739,15.531,2016-06-01,not employed,caucasian,senior,NA,female
740,5.726,2016-06-01,employed,caucasian,middle age,2058.3333333333335,female
741,19.215,2016-06-01,not employed,caucasian,middle age,NA,female
742,19.215,2016-06-01,not employed,caucasian,senior,2500,female
743,5.961,2016-06-01,not employed,caucasian,middle age,NA,female
744,7.085,2016-06-01,employed,caucasian,middle age,NA,female
745,19.215,2016-06-01,NA,NA,middle age,NA,male
746,13.601,2016-07-01,employed,visible minority,middle age,2366,female
747,2.611,2016-07-01,not employed,caucasian,youth,1430,female
748,4.335,2016-07-01,not employed,caucasian,middle age,NA,male
749,2.611,2016-07-01,employed,caucasian,middle age,NA,male
750,8.193,2016-07-01,not employed,caucasian,senior,NA,male
751,2.611,2016-07-01,employed,caucasian,youth,NA,male
752,2.611,2016-07-01,not employed,aboriginal,youth,2166.6666666666665,male
753,2.611,2016-07-01,employed,caucasian,middle age,NA,male
754,13.601,2016-07-01,not employed,caucasian,middle age,6000,male
755,8.193,2016-07-01,not employed,caucasian,senior,NA,male
756,2.611,2016-07-01,employed,visible minority,middle age,NA,male
757,2.611,2016-07-01,employed,visible minority,middle age,NA,female
758,2.611,2016-07-01,not employed,caucasian,senior,NA,female
759,2.611,2016-07-01,not employed,caucasian,youth,NA,female
760,2.611,2016-07-01,employed,NA,middle age,1950,female
761,8.193,2016-07-01,not employed,aboriginal,senior,3900,female
762,13.601,2016-07-01,not employed,visible minority,middle age,NA,female
763,13.601,2016-07-01,employed,caucasian,senior,1600,female
764,8.193,2016-07-01,employed,caucasian,middle age,NA,male
765,2.611,2016-07-01,not employed,caucasian,youth,NA,male
766,8.193,2016-07-01,employed,visible minority,middle age,NA,male
767,29.63,2016-08-01,employed,visible minority,middle age,NA,male
768,7.591,2016-08-01,employed,caucasian,middle age,NA,female
769,4.669,2016-08-01,employed,caucasian,middle age,2773.3333333333335,male
770,6.217,2016-08-01,not employed,caucasian,middle age,7106.666666666667,male
771,4.669,2016-08-01,not employed,caucasian,senior,4160,female
772,4.669,2016-08-01,employed,aboriginal,middle age,1300,male
773,7.612,2016-08-01,employed,visible minority,middle age,NA,male
774,29.63,2016-08-01,employed,visible minority,middle age,NA,male
775,6.217,2016-08-01,not employed,caucasian,senior,NA,female
776,4.669,2016-08-01,employed,caucasian,middle age,NA,female
777,6.217,2016-08-01,employed,caucasian,middle age,2773.3333333333335,male
778,10.133,2016-08-01,employed,visible minority,middle age,563.3333333333334,female
779,7.612,2016-08-01,employed,caucasian,youth,NA,male
780,10.133,2016-08-01,employed,visible minority,middle age,NA,female
781,4.669,2016-08-01,employed,caucasian,senior,2166.666666666667,female
782,3.236,2016-09-01,employed,caucasian,youth,NA,male
783,8.143,2016-09-01,employed,caucasian,youth,NA,female
784,3.126,2016-09-01,not employed,visible minority,youth,3533.8333333333335,female
785,2.352,2016-09-01,employed,caucasian,middle age,NA,female
786,2.435,2016-09-01,employed,caucasian,senior,1321.6666666666667,female
787,3.911,2016-09-01,employed,visible minority,middle age,NA,female
788,2.435,2016-09-01,not employed,aboriginal,youth,NA,male
789,10.95,2016-09-01,not employed,caucasian,middle age,NA,female
790,10.95,2016-09-01,not employed,caucasian,senior,NA,male
791,13.277,2016-09-01,not employed,aboriginal,middle age,NA,male
792,3.126,2016-09-01,not employed,visible minority,middle age,NA,male
793,2.435,2016-09-01,not employed,caucasian,middle age,NA,male
794,2.352,2016-09-01,not employed,caucasian,middle age,1040,female
795,3.778,2016-09-01,employed,caucasian,senior,NA,male
796,3.778,2016-09-01,employed,aboriginal,middle age,2166.6666666666665,female
797,2.435,2016-09-01,not employed,visible minority,middle age,20.833333333333332,female
798,10.95,2016-09-01,not employed,caucasian,middle age,650,male
799,2.435,2016-09-01,employed,caucasian,middle age,NA,female
800,13.277,2016-09-01,employed,caucasian,senior,NA,female
801,2.435,2016-09-01,employed,caucasian,middle age,NA,female
802,2.352,2016-09-01,employed,visible minority,middle age,4680,male
803,3.911,2016-09-01,employed,aboriginal,middle age,NA,female
804,4.028,2016-10-01,employed,visible minority,senior,NA,male
805,4.324,2016-10-01,not employed,caucasian,youth,NA,female
806,4.324,2016-10-01,not employed,NA,middle age,NA,male
807,45.121,2016-10-01,not employed,visible minority,youth,NA,female
808,2.999,2016-10-01,employed,caucasian,senior,NA,female
809,3.992,2016-10-01,employed,caucasian,youth,2600,female
810,2.181,2016-10-01,employed,caucasian,middle age,NA,male
811,16.466,2016-10-01,employed,caucasian,middle age,3250,male
812,2.181,2016-10-01,employed,visible minority,senior,NA,female
813,3.992,2016-10-01,employed,caucasian,middle age,3466.6666666666665,male
814,2.999,2016-10-01,employed,visible minority,middle age,NA,female
815,2.181,2016-10-01,not employed,NA,middle age,NA,male
816,2.181,2016-10-01,NA,caucasian,middle age,12896,female
817,6.682,2016-10-01,employed,visible minority,middle age,NA,male
818,8.571,2016-10-01,not employed,caucasian,senior,11250,male
819,16.466,2016-10-01,not employed,NA,senior,NA,female
820,15.831,2016-10-01,employed,visible minority,senior,NA,male
821,8.049,2016-11-01,not employed,NA,middle age,2383.3333333333335,male
822,15.295,2016-11-01,employed,caucasian,middle age,4550,male
823,3.265,2016-11-01,employed,caucasian,middle age,NA,male
824,8.049,2016-11-01,employed,NA,youth,NA,female
825,8.049,2016-11-01,NA,caucasian,middle age,3374.7999999999997,male
826,3.265,2016-11-01,not employed,aboriginal,middle age,NA,male
827,15.295,2016-11-01,NA,caucasian,senior,NA,female
828,15.295,2016-11-01,employed,aboriginal,senior,NA,female
829,7.519,2016-11-01,not employed,NA,middle age,NA,female
830,27.359,2016-11-01,employed,visible minority,middle age,NA,male
831,3.415,2016-11-01,not employed,caucasian,middle age,NA,female
832,6.641,2016-11-01,not employed,caucasian,middle age,NA,female
833,3.265,2016-11-01,not employed,aboriginal,middle age,NA,female
834,6.641,2016-11-01,not employed,caucasian,senior,1733.3333333333333,male
835,3.265,2016-11-01,not employed,caucasian,senior,9500,female
836,3.265,2016-11-01,not employed,visible minority,youth,NA,female
837,5.939,2016-12-01,not employed,caucasian,middle age,NA,male
838,3.615,2016-12-01,employed,caucasian,senior,NA,male
839,2.819,2016-12-01,NA,visible minority,middle age,NA,male
840,12.451,2016-12-01,not employed,aboriginal,middle age,NA,male
841,2.103,2016-12-01,not employed,NA,middle age,799.9999999999999,female
842,12.018,2016-12-01,employed,visible minority,senior,NA,male
843,5.005,2016-12-01,employed,caucasian,middle age,NA,male
844,3.615,2016-12-01,employed,caucasian,middle age,NA,male
845,31.338,2016-12-01,employed,visible minority,middle age,NA,male
846,1.919,2016-12-01,employed,visible minority,middle age,NA,female
847,20.12,2016-12-01,not employed,caucasian,middle age,NA,male
848,1.919,2016-12-01,not employed,caucasian,middle age,NA,male
849,4.993,2016-12-01,employed,caucasian,middle age,NA,female
850,3.615,2016-12-01,not employed,caucasian,middle age,1596.3999999999999,female
851,3.615,2016-12-01,not employed,aboriginal,middle age,NA,female
852,4.993,2016-12-01,employed,visible minority,youth,NA,male
853,1.919,2016-12-01,employed,visible minority,middle age,NA,female
854,13.84,2017-01-01,employed,caucasian,youth,NA,female
855,26.922,2017-01-01,not employed,caucasian,middle age,NA,female
856,8.459,2017-01-01,not employed,caucasian,middle age,7583.333333333333,female
857,3.791,2017-01-01,not employed,caucasian,middle age,NA,female
858,6.707,2017-01-01,not employed,visible minority,middle age,NA,male
859,34.258,2017-01-01,employed,aboriginal,senior,NA,male
860,44.045,2017-01-01,employed,caucasian,senior,NA,female
861,6.588,2017-01-01,not employed,caucasian,senior,2080,female
862,4.174,2017-01-01,not employed,caucasian,middle age,NA,male
863,8.459,2017-01-01,employed,caucasian,youth,NA,female
864,13.84,2017-01-01,employed,caucasian,middle age,3120,female
865,6.83,2017-01-01,employed,aboriginal,middle age,NA,female
866,8.459,2017-01-01,employed,caucasian,youth,8909.333333333334,male
867,5.312,2017-01-01,not employed,caucasian,middle age,NA,female
868,3.791,2017-01-01,employed,caucasian,middle age,NA,male
869,6.203,2017-01-01,employed,caucasian,youth,4500.000000000001,female
870,5.498,2017-01-01,not employed,visible minority,middle age,281.6666666666667,female
871,5.498,2017-01-01,not employed,NA,middle age,NA,female
872,3.831,2017-02-01,employed,caucasian,middle age,NA,male
873,6.912,2017-02-01,employed,aboriginal,senior,1268.8,male
874,6.094,2017-02-01,employed,caucasian,youth,2700.5333333333333,female
875,6.912,2017-02-01,employed,caucasian,middle age,2253.3333333333335,male
876,3.831,2017-02-01,employed,caucasian,senior,NA,female
877,6.704,2017-02-01,employed,visible minority,middle age,2080,female
878,3.831,2017-02-01,employed,aboriginal,middle age,581.5333333333333,female
879,3.95,2017-02-01,employed,NA,middle age,2730,female
880,7.105,2017-02-01,employed,aboriginal,middle age,NA,female
881,13.681,2017-02-01,employed,caucasian,senior,NA,female
882,3.114,2017-02-01,employed,caucasian,middle age,NA,female
883,5.368,2017-03-01,not employed,caucasian,middle age,NA,female
884,3.86,2017-03-01,not employed,visible minority,middle age,NA,female
885,5.368,2017-03-01,not employed,caucasian,middle age,NA,female
886,5.485,2017-03-01,not employed,caucasian,youth,NA,female
887,7.96,2017-03-01,employed,aboriginal,youth,845.8666666666667,female
888,7.96,2017-03-01,not employed,visible minority,youth,NA,female
889,3.883,2017-03-01,employed,aboriginal,middle age,3120,male
890,5.485,2017-03-01,employed,visible minority,youth,2275,female
891,15.217,2017-03-01,NA,caucasian,middle age,NA,male
892,5.368,2017-03-01,employed,aboriginal,middle age,1988.1333333333334,female
893,5.485,2017-03-01,not employed,caucasian,middle age,NA,female
894,5.4,2017-03-01,not employed,aboriginal,youth,1560,female
895,15.217,2017-03-01,employed,caucasian,middle age,NA,male
896,3.883,2017-03-01,employed,visible minority,youth,1625,female
897,9.647,2017-03-01,employed,caucasian,middle age,NA,male
898,5.368,2017-03-01,not employed,visible minority,middle age,NA,male
899,15.217,2017-03-01,employed,caucasian,senior,NA,female
900,15.217,2017-03-01,employed,caucasian,middle age,NA,male
901,3.883,2017-03-01,not employed,visible minority,middle age,3459.0400000000004,female
902,5.875,2017-04-01,not employed,caucasian,middle age,13000,male
903,21.354,2017-04-01,not employed,caucasian,middle age,2114.6666666666665,female
